标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
八里桥地铁口 次卧飘窗 干净整洁 有电梯 万达广场附近,通州-通州北苑 八里桥南街16号,京贸国际公寓,4室2厅,16平米,高层(共30层),1795,合租,朝北,有,八通线
果园地铁附近，雅丽世居，电梯房，精装次卧带阳台，可月付,通州-通州北苑 北苑南路38号,雅丽世居,3室1厅,18平米,低层(共21层),1700,合租,朝北,有,八通线
六号线地铁附近，武夷花园水仙园，交通方便，可月付,通州-武夷花园 通胡大街,武夷花园水仙园,4室1厅,15平米,中层(共6层),1300,合租,朝北,无,无
1号线八通线 梨园 九棵树 2层 主卧带阳台1700 可月付,通州-梨园 五所南路5号,云景西里(南区),3室1厅,20平米,低层(共6层),1700,合租,朝南,无,无
6号线北运河西嘉华印象精装次卧随时看房先到先得,通州-武夷花园 通胡大街23号,加华印象街,3室1厅,18平米,高层(共6层),1300,合租,朝南,无,无
七号线万盛东城铁旁  隆孚大厦对面 海棠湾超大精装修卧室甩租,通州-梨园 云景东路,K2海棠湾,3室1厅,18平米,高层(共26层),1700,合租,朝南,有,7号线
10号线石榴庄 慧时欣园小区精装次卧室 下楼地铁。,丰台-石榴庄 光彩路,慧时欣园,5室0厅,12平米,低层(共24层),1600,合租,朝北,有,5/8/10号线/亦庄线/8号线南段
亦城时代，天翼智谷，尖子班，科创街，房子真实，随时看房，,通州-马驹桥 东渠路,东居时代小区,2室1厅,19平米,中层(共6层),1417,合租,朝南,无,17号线
八角南里 距离1号线古城站600米 正规次卧室 实图 人少,石景山-八角 八角南路,八角南里,3室1厅,13平米,中层(共6层),1700,合租,南北,无,1号线
6号线8通线光明小区精装三居室三家合住随时看房,通州-玉桥 玉桥中路,玉桥南里(北区),3室1厅,12平米,高层(共6层),1200,合租,朝南,无,无
立水桥地铁站，奥北南区，北京北小区出租精装三家合租次卧,昌平-立水桥 中滩村大街8号,北京北,3室1厅,13平米,中层(共26层),1600,合租,朝南,有,5/13号线
好房推荐 万达广场 地铁一号线 古城 主卧带阳台 干净整洁,石景山-八角 八角北路44号,八角北路社区,3室1厅,14平米,中层(共6层),1500,合租,朝南,无,1号线
（石门） 主卧 双窗户 采光好 家电齐全 ！,顺义-石门 西外街,西辛南区,4室1厅,15平米,高层(共6层),1500,合租,朝南,无,15号线
黄村 高米店 西红门 枣园 星光影视园 精装大主卧月付,大兴-黄村 兴盛街187号,兴盛街187号院,3室1厅,18平米,高层(共13层),1300,合租,朝南,有,4号线大兴线
地铁六号线丨北运河东站 正规次卧紫运南里 朝南 家具家电全齐,通州-土桥 梨园南街,朗芳园,3室1厅,15平米,低层(共18层),1300,合租,朝南,有,无
后沙峪 清岚花园  精装朝南带阳台 全齐出租 随时看房入住,顺义-后沙峪 顺平路,清岚花园(南区),4室1厅,16平米,中层(共6层),1530,合租,朝南,无,无
13号8号霍营站 精装温馨大次卧 每户一人 出小区霍营站,昌平-霍营 良庄西街,龙跃苑(东五区),3室1厅,15平米,中层(共6层),1650,合租,朝北,无,8/13号线
直租 实拍 角门东 押一付一 博爱医院 南三环 洋桥,"丰台-角门 角门路,近马家堡路",角门东里小区,2室1厅,15平米,低层(共15层),1700,合租,朝南,有,10号线/8号线南段/4号线大兴线
地铁六号线 北运河东 紫运南里 正规次卧 全女生合租拎包即住,通州-土桥 梨园南街,朗芳园,3室1厅,16平米,高层(共27层),1400,合租,朝南,有,无
7号线万盛东地铁站 永丰里电梯房 两居室 可月付 家具家电齐,通州-梨园 曹园南街,永丰里B区,2室1厅,80平米,高层(共16层),4200,整租,南北,有,无
K2海棠湾，高档小区，电梯房，精装修，可月付,通州-梨园 云景东路,K2海棠湾,3室1厅,18平米,高层(共23层),1500,合租,朝南,有,7号线
15号线马泉营 望京孙河 无中介费 价格美丽 可月付 电梯房,朝阳-来广营 香江北路,丽苑小区,4室1厅,12平米,共5层,1499,合租,朝南,有,15号线
八大处西山枫林四区 整形医院 康复医院 启迪香山杏石口巨山路,石景山-八大处 八大处路甲26号,西山枫林(四区),4室1厅,10平米,高层(共6层),1500,合租,朝南,无,无
8好像平西府地铁 流星花园三区 实拍图 次卧飘窗 可短zu,昌平-回龙观 文化路23号,流星花园三区,3室1厅,10平米,低层(共6层),1400,合租,朝北,无,8号线
丰台科技园 诺德中心 总部基地 天坛医院精装次卧月付无杂费,丰台-花乡 樊羊路88号,益辰欣园,3室1厅,15平米,中层(共17层),1500,合租,朝北,有,9号线/房山线
首月免500房租6号线褡裢坡精装主卧阳台定福庄北里包物业取暖,朝阳-定福庄 定福庄路,定福庄北里1号院,4室1厅,16平米,共5层,1699,合租,朝南,无,6号线/八通线
果园地铁 雅丽世居 精装两居 随时入住  欢迎咨询看房,通州-通州北苑 北苑南路38号,雅丽世居,2室2厅,93平米,中层(共17层),4500,整租,南北,有,八通线
六号线西黄村地铁口 北方工业大学西黄村北里 三家合租正规次卧,石景山-苹果园 田村路,西黄新村北里,3室1厅,10平米,中层(共26层),1600,合租,朝南,有,6号线
6号线地铁口紫运南里精装单间设施齐全免中介费,通州-潞城 杨坨中路,紫运南里一区,3室1厅,20平米,中层(共26层),1500,合租,朝南,有,6号线
方庄芳城东里。正规大次卧月付甩租无杂费,丰台-方庄 紫芳路,芳城东里,3室2厅,16平米,低层(共31层),1700,合租,朝南,有,5/14号线
可短住 可月付绿地 世界侨商 漂亮大主卧甩租 干净随时住,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,20平米,高层(共28层),1600,合租,朝南,有,无
9号线丰台东大街精装两居室主卧出租月付无杂费,丰台-北大地 文体路,正阳北里,2室0厅,16平米,高层(共6层),1700,合租,朝东,无,9号线
月付10号线角门东司达小区 两户合租精装次卧,"丰台-角门 马家堡路,近角门路",西马场北里社区(司达小区),2室1厅,17平米,中层(共6层),2100,合租,朝北,无,10号线/8号线南段/4号线大兴线
可月租小红门 押一付一 直达京东 万源街 荣京东街 喜欢私聊,朝阳-小红门 红坊路,鸿博家园(二期F区),3室1厅,10平米,中层(共28层),1490,合租,朝南,有,亦庄线
地铁S1号线直达杨庄 金安桥 上岸 桥户营 栗园庄 小园主卧,门头沟-门头沟周边 龙林路,惠润嘉园十地块,3室1厅,16平米,低层(共21层),1400,合租,朝南,有,S1线
无佣特价出租东坝汇景苑精装次卧，集中供暖现房包网络，双周保洁,朝阳-东坝 平房路,汇景苑二区,4室0厅,10平米,中层(共23层),1500,合租,朝南,有,无
马驹桥 百尚附近 兴华嘉园五层精装次卧 随时看房入住,通州-马驹桥 兴华南街,兴华嘉园西区,3室1厅,15平米,高层(共6层),1350,合租,朝北,无,无
一号线梨园地铁站，梨园北小区的3层的精装南向主卧，出租,通州-梨园 梨园北街,梨园北小区,3室2厅,20平米,高层(共6层),1499,合租,朝南,无,八通线
富力尚悦居 4室2厅2卫 南北通透 电梯房 精装修!!!,通州-马驹桥 兴贸二街,富力尚悦居,4室2厅,20平米,中层(共20层),1400,合租,朝北,有,无
押一付一 8号回龙观东大街站 温馨舒适大次卧 包物业维修保洁,昌平-霍营 龙锦三街,龙锦苑东五区,3室1厅,15平米,低层(共6层),1600,合租,朝北,无,8号线
